2018-10-01,花蓮市,薑 老薑,109.5,79.8,44.2,78.6,746.0,58635.6
2018-10-01,花蓮市,敏豆 粉豆,110.0,100.2,57.5,93.6,7562.0,707803.2
2018-10-01,花蓮市,甜椒 青椒,117.7,87.2,48.6,85.6,594.0,50846.399999999994
2018-10-01,花蓮市,辣椒 青龍,120.0,106.2,100.0,107.7,47.0,5061.900000000001
2018-10-01,花蓮市,辣椒 紅小,120.0,102.3,55.4,96.5,79.5,7671.75
2018-10-01,花蓮市,敏豆 白豆,127.2,87.1,33.0,84.3,361.0,30432.3
2018-10-01,溪湖鎮,芽菜類 綠豆芽,13.0,13.0,13.0,13.0,436.0,5668.0
2018-10-01,溪湖鎮,冬瓜 白皮,16.4,11.4,7.7,11.7,4802.0,56183.399999999994
2018-10-01,溪湖鎮,甘薯 其他,17.4,11.6,7.2,11.9,4210.0,50099.0
2018-10-01,溪湖鎮,蘿蔔 矸仔 未洗,18.2,14.5,10.7,14.5,4325.0,62712.5
2018-10-01,溪湖鎮,包心白 包白,20.0,16.6,10.2,16.0,236.0,3776.0
2018-10-01,溪湖鎮,扁蒲 花蒲,21.7,15.1,10.9,15.6,1765.0,27534.0
2018-10-01,溪湖鎮,玉米 其他,23.3,23.3,23.3,23.3,240.0,5592.0
2018-10-01,溪湖鎮,南瓜 木瓜形,24.6,16.1,11.1,16.8,1825.0,30660.0
2018-10-01,溪湖鎮,洋蔥 本產,25.8,22.0,14.0,21.2,3200.0,67840.0
2018-10-01,溪湖鎮,小白菜 土白菜,30.0,21.3,15.0,21.8,260.0,5668.0
2018-10-01,溪湖鎮,胡蘿蔔 清洗,30.0,26.0,20.0,25.6,2500.0,64000.0
2018-10-01,溪湖鎮,蕹菜 小葉,30.0,20.5,13.0,20.2,528.0,10665.6
2018-10-01,溪湖鎮,油菜,32.0,21.7,15.0,22.4,250.0,5600.0
2018-10-01,溪湖鎮,青江白菜 小梗,37.0,25.3,17.0,26.0,2974.0,77324.0
2018-10-01,溪湖鎮,絲瓜,37.0,25.1,14.3,25.3,240.0,6072.0
2018-10-01,溪湖鎮,芥藍菜,38.0,24.9,17.0,26.0,210.0,5460.0
2018-10-01,溪湖鎮,芥菜 小芥菜,39.0,25.3,17.0,26.4,160.0,4224.0
2018-10-01,溪湖鎮,甘藍 初秋,41.0,24.5,18.0,26.5,7900.0,209350.0
2018-10-01,溪湖鎮,花椰菜 青梗,47.0,42.4,36.3,42.0,18782.0,788844.0
2018-10-01,溪湖鎮,萵苣菜 本島圓葉,57.0,37.5,25.0,38.9,100.0,3890.0
2018-10-01,溪湖鎮,花胡瓜,58.7,45.2,37.0,46.2,346.0,15985.2
2018-10-01,溪湖鎮,茄子 麻荸茄,59.3,37.4,25.0,39.3,1223.0,48063.899999999994
2018-10-01,溪湖鎮,莧菜 白莧菜,60.0,40.0,25.0,39.5,153.0,6043.5
2018-10-01,溪湖鎮,菜豆 青色,71.2,67.9,66.7,68.3,187.0,12772.1
2018-10-01,溪湖鎮,青蔥 粉蔥,73.6,66.4,60.0,66.6,459.0,30569.399999999998
2018-10-01,溪湖鎮,苦瓜 白大米,77.3,59.8,37.4,58.8,1917.0,112719.59999999999
2018-10-01,溪湖鎮,菜豆 白色,90.0,85.5,71.6,83.6,133.0,11118.8
2018-10-01,溪湖鎮,韭菜 韭菜花,118.8,110.0,110.0,111.8,659.0,73676.2
2018-10-02,三重區,石蓮花,7.0,7.0,7.0,7.0,60.0,420.0
2018-10-02,三重區,秀珍菇 盒裝,8.0,8.0,8.0,8.0,300.0,2400.0
2018-10-02,三重區,金絲菇 盒裝,8.0,8.0,8.0,8.0,80.0,640.0
2018-10-02,三重區,馬鈴薯 進口,8.0,8.0,8.0,8.0,120.0,960.0
2018-10-02,三重區,玉米 糯米黑,8.0,8.0,8.0,8.0,42.0,336.0
2018-10-02,三重區,珊瑚菇 盒裝,9.0,9.0,9.0,9.0,120.0,1080.0
2018-10-02,三重區,玉米 超甜白,10.0,7.4,5.0,7.5,46.0,345.0
2018-10-02,三重區,豆薯,12.0,12.0,12.0,12.0,2680.0,32160.0
2018-10-02,三重區,甘薯 臺農57號,12.0,11.4,10.0,11.3,360.0,4068.0000000000005
